INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162016883,1844,Drug Violation,DRUGS - POSS CLASS C,D4,179,,3/3/16 11:50,2016,3,Thursday,11,Part Two,MASSACHUSETTS AVE,42.33285585,-71.07262418,"(42.33285585, -71.07262418)"
I162016883,1847,Drug Violation,DRUGS - POSS CLASS C - INTENT TO MFR DIST DISP,D4,179,,3/3/16 11:50,2016,3,Thursday,11,Part Two,MASSACHUSETTS AVE,42.33285585,-71.07262418,"(42.33285585, -71.07262418)"
I162016883,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,D4,179,,3/3/16 11:50,2016,3,Thursday,11,Part Two,MASSACHUSETTS AVE,42.33285585,-71.07262418,"(42.33285585, -71.07262418)"
I162016871,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",E13,912,,3/3/16 11:29,2016,3,Thursday,11,Part Two,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I162016863,1844,Drug Violation,DRUGS - POSS CLASS C,C11,335,,3/3/16 10:38,2016,3,Thursday,10,Part Two,BOWDOIN ST,42.3078312,-71.06529544,"(42.30783120, -71.06529544)"
I162016863,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C11,335,,3/3/16 10:38,2016,3,Thursday,10,Part Two,BOWDOIN ST,42.3078312,-71.06529544,"(42.30783120, -71.06529544)"
I162016863,1846,Drug Violation,DRUGS - POSS CLASS E,C11,335,,3/3/16 10:38,2016,3,Thursday,10,Part Two,BOWDOIN ST,42.3078312,-71.06529544,"(42.30783120, -71.06529544)"
I162016845,1844,Drug Violation,DRUGS - POSS CLASS C,D14,784,,3/3/16 9:48,2016,3,Thursday,9,Part Two,WARREN ST,42.34988575,-71.14522971,"(42.34988575, -71.14522971)"
I162016810,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,A1,117,,3/3/16 1:40,2016,3,Thursday,1,Part Two,BOYLSTON ST,42.3523119,-71.0637051,"(42.35231190, -71.06370510)"
I162016771,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,328,,3/2/16 21:16,2016,3,Wednesday,21,Part Two,QUINCY ST,42.31252546,-71.07389321,"(42.31252546, -71.07389321)"
I162016769,1832,Drug Violation,DRUGS - SICK ASSIST - OTHER HARMFUL DRUG,D4,92,,3/2/16 20:50,2016,3,Wednesday,20,Part Two,COURT ST,42.25867638,-71.15116479,"(0.00000000, 0.00000000)"
I162016763,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,77,,3/2/16 20:40,2016,3,Wednesday,20,Part Two,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I162016762,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,111,,3/2/16 20:38,2016,3,Wednesday,20,Part Two,WASHINGTON ST,42.35358129,-71.06236665,"(42.35358129, -71.06236665)"
I162016762,1874,Drug Violation,DRUGS - OTHER,A1,111,,3/2/16 20:38,2016,3,Wednesday,20,Part Two,WASHINGTON ST,42.35358129,-71.06236665,"(42.35358129, -71.06236665)"
I162016743,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,D4,156,,3/2/16 18:41,2016,3,Wednesday,18,Part Two,SHAWMUT AVE,42.33781618,-71.07732638,"(42.33781618, -71.07732638)"
I162016743,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",D4,156,,3/2/16 18:41,2016,3,Wednesday,18,Part Two,SHAWMUT AVE,42.33781618,-71.07732638,"(42.33781618, -71.07732638)"
I162016736,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,E5,691,,3/2/16 18:40,2016,3,Wednesday,18,Part Two,CENTRE ST,42.28709355,-71.14822128,"(42.28709355, -71.14822128)"
I162016730,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C11,355,,3/2/16 16:00,2016,3,Wednesday,16,Part Two,GIBSON ST,42.29755533,-71.0597091,"(42.29755533, -71.05970910)"
I162016715,1845,Drug Violation,DRUGS - POSS CLASS D,E13,576,,3/2/16 17:00,2016,3,Wednesday,17,Part Two,AMORY ST,42.31659535,-71.10311898,"(42.31659535, -71.10311898)"
I162016648,1845,Drug Violation,DRUGS - POSS CLASS D,B3,463,,3/2/16 13:06,2016,3,Wednesday,13,Part Two,GENEVA AVE,42.30267265,-71.0701954,"(0.00000000, 0.00000000)"
I162016618,1844,Drug Violation,DRUGS - POSS CLASS C,C11,236,,3/2/16 10:44,2016,3,Wednesday,10,Part Two,E COTTAGE ST,42.31990058,-71.06085392,"(42.31990058, -71.06085392)"
I162016618,1846,Drug Violation,DRUGS - POSS CLASS E,C11,236,,3/2/16 10:44,2016,3,Wednesday,10,Part Two,E COTTAGE ST,42.31990058,-71.06085392,"(42.31990058, -71.06085392)"
I162016543,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,383,,3/2/16 0:15,2016,3,Wednesday,0,Part Two,SAINT BRENDAN RD,42.28232091,-71.05166061,"(42.28232091, -71.05166061)"
I162016511,1845,Drug Violation,DRUGS - POSS CLASS D,B3,429,,3/1/16 20:03,2016,3,Tuesday,20,Part Two,MORTON ST,42.281641,-71.086942,"(42.28164100, -71.08694200)"
I162016497,1845,Drug Violation,DRUGS - POSS CLASS D,E13,574,,3/1/16 17:30,2016,3,Tuesday,17,Part Two,GREEN ST,42.31060967,-71.10733333,"(42.31060967, -71.10733333)"
I162016492,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A7,28,,3/1/16 19:42,2016,3,Tuesday,19,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162016482,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",B2,181,,3/1/16 17:50,2016,3,Tuesday,17,Part Two,NORFOLK AVE,42.32628627,-71.07088282,"(42.32628627, -71.07088282)"
I162016477,1832,Drug Violation,DRUGS - SICK ASSIST - OTHER HARMFUL DRUG,C6,191,,3/1/16 18:27,2016,3,Tuesday,18,Part Two,DORCHESTER AVE,42.3290376,-71.05694505,"(42.32903760, -71.05694505)"
I162016476,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,B3,465,,3/1/16 0:00,2016,3,Tuesday,0,Part Two,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I162016467,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,B3,465,,3/1/16 18:33,2016,3,Tuesday,18,Part Two,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I162016445,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,B2,263,,3/1/16 17:03,2016,3,Tuesday,17,Part Two,WINTHROP ST,42.32246879,-71.07454158,"(42.32246879, -71.07454158)"
I162016442,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",C11,361,,3/1/16 17:03,2016,3,Tuesday,17,Part Two,CLEMENTINE PARK,42.2926877,-71.06556673,"(42.29268770, -71.06556673)"
I162016436,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,282,,3/1/16 16:44,2016,3,Tuesday,16,Part Two,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I162016428,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,C6,200,,3/1/16 16:10,2016,3,Tuesday,16,Part Two,W BROADWAY,42.34128751,-71.05467933,"(42.34128751, -71.05467933)"
I162016403,1844,Drug Violation,DRUGS - POSS CLASS C,C11,358,,3/1/16 14:16,2016,3,Tuesday,14,Part Two,WALDECK ST,42.29881968,-71.06570084,"(42.29881968, -71.06570084)"
I162016386,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,B2,329,,3/1/16 13:09,2016,3,Tuesday,13,Part Two,DEVON ST,42.30812619,-71.07692974,"(42.30812619, -71.07692974)"
I162016386,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,329,,3/1/16 13:09,2016,3,Tuesday,13,Part Two,DEVON ST,42.30812619,-71.07692974,"(42.30812619, -71.07692974)"
I162016358,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,C11,355,,3/1/16 12:29,2016,3,Tuesday,12,Part Two,GIBSON ST,42.29755533,-71.0597091,"(42.29755533, -71.05970910)"
I162016347,1874,Drug Violation,DRUGS - OTHER,E5,822,,3/1/16 10:12,2016,3,Tuesday,10,Part Two,MARGARETTA DR,42.25670536,-71.14650457,"(42.25670536, -71.14650457)"
I162016335,1845,Drug Violation,DRUGS - POSS CLASS D,E18,784,,3/1/16 10:55,2016,3,Tuesday,10,Part Two,WARREN ST,42.34988575,-71.14522971,"(42.34988575, -71.14522971)"
I162016286,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,B3,472,,3/1/16 7:30,2016,3,Tuesday,7,Part Two,WOODHAVEN ST,42.27282972,-71.09560402,"(42.27282972, -71.09560402)"
I162016286,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,472,,3/1/16 7:30,2016,3,Tuesday,7,Part Two,WOODHAVEN ST,42.27282972,-71.09560402,"(42.27282972, -71.09560402)"
I162016257,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,C6,216,,3/1/16 0:29,2016,3,Tuesday,0,Part Two,W NINTH ST,42.33493412,-71.0546559,"(42.33493412, -71.05465590)"
I162016214,1845,Drug Violation,DRUGS - POSS CLASS D,D14,938,,2/29/16 21:02,2016,2,Monday,21,Part Two,FIDELIS WAY,42.3458376,-71.14492138,"(42.34583760, -71.14492138)"
I162016197,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,98,,2/29/16 19:44,2016,2,Monday,19,Part Two,SPRING LN,42.35742501,-71.05779809,"(42.35742501, -71.05779809)"
I162016188,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,E18,500,,2/29/16 19:37,2016,2,Monday,19,Part Two,MANNING ST,42.27966845,-71.1145576,"(42.27966845, -71.11455760)"
I162016159,1874,Drug Violation,DRUGS - OTHER,B2,282,,2/29/16 8:30,2016,2,Monday,8,Part Two,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I162016158,1845,Drug Violation,DRUGS - POSS CLASS D,B3, ,,2/29/16 18:45,2016,2,Monday,18,Part Two,BLACKFAN CIR,42.33916952,-71.10358341,"(0.00000000, 0.00000000)"
I162016147,1831,Drug Violation,DRUGS - SICK ASSIST - OTHER NARCOTIC,E5,723,,2/29/16 17:31,2016,2,Monday,17,Part Two,VFW PKWY,42.26623736,-71.16843346,"(42.26623736, -71.16843346)"
I162016139,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,D14,759,,2/29/16 16:31,2016,2,Monday,16,Part Two,ADAIR RD,42.35224523,-71.16671139,"(42.35224523, -71.16671139)"
I162016127,1874,Drug Violation,DRUGS - OTHER,C11,355,,2/29/16 16:00,2016,2,Monday,16,Part Two,GIBSON ST,42.29755533,-71.0597091,"(42.29755533, -71.05970910)"
I162016096,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C11,356,,2/29/16 14:54,2016,2,Monday,14,Part Two,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)"
I162016088,1831,Drug Violation,DRUGS - SICK ASSIST - OTHER NARCOTIC,B3,456,,2/29/16 14:38,2016,2,Monday,14,Part Two,ERIE ST,42.30299624,-71.07903634,"(42.30299624, -71.07903634)"
I162016080,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,E5,713,,2/29/16 14:20,2016,2,Monday,14,Part Two,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
I162016080,1847,Drug Violation,DRUGS - POSS CLASS C - INTENT TO MFR DIST DISP,E5,713,,2/29/16 14:20,2016,2,Monday,14,Part Two,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
